outer_sim,inner_sim,date,dt,liab_cashflow,liab_pv_gaap,liab_pv_ifrs,meltdown_liabilities,next_2_liabs,bund_fwds,bund_yield,fee,cash,assets,net_asset_return,hgb_gap,hgb_payment,bund_comparator,performance_payment,additional_payment,funding_level_gaap,funding_level_ifrs,net_bt_return
0,0,2027-12-31,0.9999999999999999,16724462.33,298344930.3521844,232344575.26205954,293348548.988457,31462151.29,0.02160482611960468,0.020672552238805972,763969.1709573055,1089188.520961129,237167958.8181445,239.51974298741538,42686577.670312524,0.0,237620365.63033894,0.0,0.0,0.794945496604139,1.0207596133916392,0.021672552238805973
0,0,2028-12-31,2.0027397260273974,16064885.95,288293371.3806211,225366432.8630154,281254696.7622815,30245020.58,0.022738216323019866,0.021362528767123287,734339.0717117182,164124.78322558186,227980465.54886103,223.06162643314389,39253952.22592047,0.0,228793384.07946402,0.0,0.0,0.7907932966237661,1.0115990329732667,0.022362528767123288
0,0,2029-12-31,3.0027397260273974,15397265.34,278690802.8053716,218758458.40467298,269302861.6554335,29436432.689999998,0.027109638291723526,0.02279628433268859,707339.712340162,-388246.1853766263,219675299.0610472,1431.2795118513632,35060492.72637379,0.0,220482254.45262992,0.0,0.0,0.7882402176524682,1.004191109514395,0.02379628433268859
0,0,2030-12-31,4.002739726027397,14847755.24,269444732.7017596,212442283.04245523,257397865.43856412,28871197.91,0.028095142183276467,0.0238538665377176,681889.5328138474,366666.1100292575,211766866.16513526,-584.6879535218177,30495813.680563867,0.0,212577822.7275427,0.0,0.0,0.7859380439235892,0.99682070411009,0.024853866537717602
0,0,2031-12-31,5.002739726027397,14588677.45,260271894.37906492,206138854.63111097,245213741.84858596,28388737.89,0.02879018786307408,0.02467493886462875,657188.52456793,-5555123.688327905,203816975.5480754,594.6526851653896,25671308.469523847,0.0,204787600.97357705,0.0,0.0,0.7830925272754672,0.988736334607124,0.025674938864628752
0,0,2032-12-31,6.005479452054795,14282520.46,251235315.260689,199918200.49963617,232820110.60361394,28052617.369999997,0.032710509730723425,0.025821725274725274,632843.8593892325,-5166069.356389558,196032588.81035492,-38.85966273122892,20448771.106863827,0.0,197167633.9480995,0.0,0.0,0.7802748137018312,0.9805639922749888,0.026821725274725275
0,0,2033-12-31,7.005479452054794,14106217.43,242178927.66742876,193608792.88912195,220033570.93694106,27654273.14,0.03296072603554978,0.026711090410958902,608557.7664508063,-6959522.409376969,188137813.62048462,-40.148531910502285,14919795.35329184,0.0,189539857.18525407,0.0,0.0,0.7768545985092646,0.9717420929752374,0.027711090410958903
0,0,2034-12-31,8.005479452054793,13946399.94,233100324.17354414,187213135.87179768,206840813.1552899,27170346.52,0.034270835081316786,0.027548071038251364,583624.0519817774,2982180.0141047738,180011326.6686107,-28.869401835286883,9191462.006951183,0.0,181893579.08461598,0.0,0.0,0.7722482896874546,0.9615314963362467,0.028548071038251365
0,0,2035-12-31,9.005479452054793,13707873.2,224077767.4894323,180806574.97079775,193336145.0369052,26739800.96,0.03522155138410188,0.028312642987249545,559223.8185181996,23516688.176947426,190466749.92198578,61.319750923332045,2869395.114919424,0.0,192622120.07042524,0.0,18325907.434437416,0.8500028898715637,1.0534282282198435,0.029312642987249546
0,0,2036-12-31,10.008219178082191,13462473.32,215131720.45132506,174415250.0829626,179537357.57461902,26413760.880000003,0.03641785146734189,0.029048498956158665,591590.0744382285,18553725.628891062,183142628.08497128,7.360237628940297,0.0,0.0,185711461.62570864,0.0,0.0,0.8513046225854383,1.0500379295838949,0.030048498956158666
0,0,2037-12-31,11.008219178082191,13277327.64,206178540.39239672,167940117.1961982,165343033.92084315,26073787.36,0.037839876326007715,0.02977792745302714,568854.9100098249,14555374.55272515,175772120.78659844,9.18929848419332,0.0,0.0,178789554.24666083,0.0,0.0,0.8525238390575027,1.0466356920618938,0.03077792745302714
0,0,2038-12-31,12.008219178082191,13136433.24,197186295.81428385,161353348.52684987,150698280.3780995,25671183.04,0.03930493623948128,0.030507355949895617,546263.6866377286,17708117.774824046,168405198.61927179,11.472480952081197,0.0,0.0,171820814.24914894,0.0,0.0,0.8540410880169939,1.0437043926066925,0.031507355949895614
0,0,2039-12-31,13.008219178082191,12937354.12,188212386.24015102,154708774.99939704,135675783.25174612,25209673.32,0.0407705080566485,0.031236784446764095,523221.78721561003,18757553.197854985,160946686.49798775,8.819453587845562,0.0,0.0,164852287.09183544,0.0,0.0,0.8551333401226134,1.040320347043114,0.032236784446764095
0,0,2040-12-31,14.010958904109588,12733828.92,179272094.61444262,148025437.94871,120284743.52148634,24745325.83,0.04223859937818841,0.031968211377870565,500114.8141947274,19488537.69923951,153470994.3307144,7.86068782519677,0.0,0.0,157904304.11429304,0.0,0.0,0.8560785473097852,1.0367879768333552,0.032968211377870565
0,0,2041-12-31,15.01095890410959,12475844.4,170399619.31619292,141322585.62870967,104587074.84275974,24288353.91,0.0395089740200647,0.03243766110531803,475671.6954146771,12834993.733473139,145605715.7094777,7.111514704135365,0.0,0.0,150975867.15375966,0.0,0.0,0.8544955457869436,1.0303074703998192,0.03343766110531803
0,0,2042-12-31,16.01095890410959,12269481.43,161555170.23444837,134564685.03822935,88515433.28318597,23796052.240000002,0.037840033192998446,0.03275451459854012,452263.58773865714,18074925.304641034,138032784.22848037,10.710349750035189,0.0,0.0,144032555.66392463,0.0,0.0,0.8544002895615634,1.0257727292213834,0.03375451459854012
